Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,
J,B,1,4,1,236,Chert,Grey,0.51,14.56,Flake,0,,Bending,,,6.32,Single,,Yes,6,1,,Single,,Yes,6,1,,,,,,,,,,,,,Feather,,,,,5.39,4.95,4.69,78.4784,2.701298701,,,,
J,B,1,4,1,237,Chert,Cream,1.78,20.21,Core,0,,,,,,,,,11,,,,,,11,,,,,,,,,,,,3,,,,,,,12.43,5.72,,251.2103,1.625905068,,,,
J,B,1,4,1,238,Chert,Grey,0.32,6.33,RetF,0,,Bending,,,11.77,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,1,,,,Feather,,,,,10.24,3.5,5.2,64.8192,0.618164063,,,,
J,B,1,4,1,239,Chert,Cream,0.11,6.47,Flake-b,0,,,Trans,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Hinge,,,,,10.38,2.08,,67.1586,0.623314066,,,,
J,B,1,4,1,240,Chert,Red,0.13,11.1,Flake,10,Angul,Hertz,,,4.81,Cort,,No,5,1,,Cort,,No,5,1,,,,,,,,,,,,,Feather,,,,,5.04,2.13,2.52,55.944,2.202380952,,,,
J,B,1,4,1,241,Chert,Red,0.27,12.43,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,2.44,,119.4523,1.293444329,,,,
J,B,1,4,1,242,Chert,Grey,0.11,5.25,Hshat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,3.82,,19.7925,1.392572944,,,,
J,B,1,4,1,243,Chert,Red,0.19,9.53,FP,0,,,,,,,,,3,,,,,,3,,,,,,,,,1,,,,,,,,,,10.28,1.41,,97.9684,0.927042802,,,,
J,B,1,4,1,244,Quartz,White,0.53,19.27,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23,3.34,,158.5921,2.341433779,,,,
J,B,1,4,1,245,Chert,Lt Brown,0.33,14.28,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,4.03,,66.9732,3.044776119,,,,
J,B,1,4,1,246,Chert,Grey,0.14,6.5,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,1.79,,45.045,0.937950938,,,,
J,B,1,4,1,247,Chert,Grey,0.68,14.7,FP,0,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,10.47,5.98,,153.909,1.404011461,,,,
